,last_four_difference,exp_win_difference,score_home,home_losses,spread_favorite,away_exp_win_pct,away_pt_diff_pg,weather_wind_mph,away_win_pct_last_4,h_ppg,a_ppg,home_exp_win_pct,home_pt_diff_pg,home_favorite,home_win_pct_last_4,over_under_line,total_ppg,total_points_against,weather_humidity,point_total,weather_temperature,schedule_season,a_papg,h_papg,per_game_difference,cluster
5431,-0.5,-0.106576155564294,6,2,-2.5,0.9884027411788968,14.75,0.0,0.75,25.67,26.5,0.8818265856146028,7.667000000000001,1,0.25,38.5,52.17,29.75,66.552,26,72.0,2002,11.75,18.0,-0.8299999999999983,3
5432,-0.25,-0.46910875330445,31,2,-3.0,0.9810426932344024,18.0,9.0,0.75,33.0,37.67,0.5119339399299524,0.25,0,0.5,53.5,70.67,52.42,69.0,80,55.0,2002,19.67,32.75,-4.670000000000002,1
5433,0.25,0.28294318298107324,13,1,-5.0,0.6528947327396721,2.25,7.0,0.5,19.0,20.75,0.9358379157207454,7.75,1,0.75,35.0,39.75,29.75,72.0,29,71.0,2002,18.5,11.25,-1.75,2
5434,0.25,0.5333193231321778,21,2,-6.0,0.13954407290059875,-5.667000000000001,10.0,0.25,25.75,13.67,0.6728633960327766,3.0,1,0.5,36.5,39.42,42.08,68.0,47,57.0,2002,19.33,22.75,12.08,2
5435,0.0,-0.21703650927463553,17,2,-1.5,0.3162157868103736,-2.25,11.0,0.5,14.25,13.75,0.09917927753573806,-7.25,0,0.5,34.5,28.0,37.5,55.0,38,78.0,2002,16.0,21.5,0.5,2
5436,-0.25,-0.33007746855599784,26,1,-6.5,0.9948591596119212,16.0,16.0,1.0,24.5,25.5,0.6647816910559233,2.75,1,0.75,39.5,50.0,31.25,43.0,35,53.0,2002,9.5,21.75,-1.0,3
5437,0.5,0.8103908157836948,28,1,-13.5,0.00015073049357209022,-24.0,0.0,0.0,21.33,5.75,0.8105415462772668,5.0,1,0.5,43.0,27.08,46.08,66.552,49,72.0,2002,29.75,16.33,15.579999999999998,0
5438,-0.25,-0.05456334215413661,28,1,-3.0,0.9902067108861806,19.0,8.0,0.75,25.33,35.0,0.935643368732044,9.667,0,0.5,42.5,60.33,31.67,79.0,53,81.0,2002,16.0,15.67,-9.670000000000002,3
5439,0.0,-0.017697692214440397,26,1,-3.0,0.9445396963105864,12.25,9.0,0.75,32.5,32.25,0.926842004096146,11.25,1,0.75,43.5,64.75,41.25,78.0,39,82.0,2002,20.0,21.25,0.25,3
5440,0.5,0.7047267948727325,32,1,-3.0,0.080456119573006,-8.667,0.0,0.25,27.75,15.67,0.7851829144457385,5.5,1,0.75,43.5,43.42,46.58,66.552,61,72.0,2002,24.33,22.25,12.08,1
5441,-0.25,-0.5987538279065288,25,3,-3.0,0.6024010856308084,2.25,13.0,0.5,12.5,35.5,0.0036472577242796173,-20.75,0,0.25,46.5,48.0,66.5,65.0,54,63.0,2002,33.25,33.25,-23.0,1
5442,0.5,0.4595376499770081,37,1,-6.0,0.12041927847020115,-6.75,9.0,0.0,16.67,15.25,0.5799569284472093,1.0,1,0.5,41.5,31.92,37.67,56.0,50,69.0,2002,22.0,15.67,1.4200000000000017,2
5443,0.0,0.07425679807765734,14,3,-3.5,0.05336503755531724,-10.667,6.0,0.25,23.25,16.0,0.12762183563297458,-8.75,1,0.25,43.5,39.25,58.67,72.0,45,65.0,2002,26.67,32.0,7.25,0
5444,-0.25,-0.06531689721442946,21,2,-1.0,0.4597890794650468,-0.75,10.0,0.75,22.75,27.75,0.39447218225061736,-1.75,1,0.5,44.0,50.5,53.0,59.0,55,50.0,2002,28.5,24.5,-5.0,1
5445,-0.25,-0.13471467319345376,7,5,-6.5,0.13608565645019796,-7.25,12.0,0.25,8.8,19.0,0.0013709832567441905,-20.6,0,0.0,40.5,27.8,55.65,76.0,41,58.0,2002,26.25,29.4,-10.2,0
5446,0.0,-0.7521643964032027,14,3,-2.0,0.8729340703984241,5.6,19.0,0.5,14.8,17.8,0.1207696739952214,-6.6,1,0.5,35.0,32.6,33.599999999999994,58.0,27,63.0,2002,12.2,21.4,-3.0,2
5447,0.0,-0.12887444618476007,22,1,-3.5,0.9392840487201736,11.6,8.0,0.75,24.8,31.2,0.8104096025354135,5.6,1,0.75,41.0,56.0,38.8,45.0,46,45.0,2002,19.6,19.2,-6.399999999999999,3
5448,-0.5,-0.33186624536069564,24,3,-7.0,0.3476959610481977,-3.4,0.0,0.5,10.5,32.6,0.015829715687502098,-12.5,0,0.0,44.0,43.1,59.0,66.552,55,72.0,2002,36.0,23.0,-22.1,0
5449,0.0,0.5288010708445465,22,1,-6.5,0.29132609265413795,-3.0,0.0,0.5,23.0,16.75,0.8201271634986844,5.5,1,0.5,42.0,39.75,37.25,66.552,42,72.0,2002,19.75,17.5,6.25,2
5450,-0.25,0.05126866948448341,31,4,-4.5,0.05104718214715175,-13.25,0.0,0.25,24.75,21.25,0.10231585163163516,-10.5,1,0.0,49.0,46.0,69.75,66.552,55,72.0,2002,34.5,35.25,3.5,0
5451,-0.25,0.24089283038177578,10,2,-4.5,0.6062198037510368,2.0,14.0,0.75,28.4,29.0,0.8471126341328126,7.2,1,0.5,47.0,57.4,48.2,93.0,38,57.0,2002,27.0,21.2,-0.6000000000000014,1
