stadium_name,stadium_location,stadium_open,stadium_close,stadium_type,stadium_address,stadium_weather_station_code,stadium_weather_type,stadium_capacity,stadium_surface,STATION,NAME,LATITUDE,LONGITUDE,ELEVATION
Alamo Dome,"San Antonio, TX",,,indoor,"100 Montana St, San Antonio, TX 78203",78203,dome,72000,FieldTurf,,,,,
Alltel Stadium,"Jacksonville, FL",,,,,,,,,,,,,
Alumni Stadium,"Chestnut Hill, MA",,,outdoor,"Perimeter Rd, Chestnut Hill, MA 02467",02467,cold,,Grass,,,,,
Anaheim Stadium,"Anaheim, CA",1980,1994,outdoor,"2000 E Gene Autry Way, Anaheim, CA 92806",92806,warm,,,,,,,
Arrowhead Stadium,"Kansas City, MO",1972,,outdoor,"1 Arrowhead Dr, Kansas City, MO 64129",64129,cold,"76,416",Grass,US1MOJC0028,"KANSAS CITY 5.1 SE, MO US",39.0692,-94.4871,264.9
AT&T Stadium,"Arlington, TX",2009,,retractable,"1 AT&T Way, Arlington, TX 76011",76011,dome,"80,000",FieldTurf,USC00410337,"ARLINGTON SIX FLAGS, TX US",32.7572,-97.0736,163.4
Atlanta-Fulton County Stadium,"Atlanta, GA",1966,1991,outdoor,"521 Capitol Avenue SE, Atlanta, Georgia 30312",30312,warm,,,,,,,
Balboa Stadium,"San Diego, CA",,,outdoor,"Balboa Stadium, San Diego, CA 92101",92101,warm,,Grass,,,,,
Bank of America Stadium,"Charlotte, NC",1996,2016,outdoor,"800 S Mint St, Charlotte, NC 28202",28202,moderate,"73,778",Grass,USW00013881,"CHARLOTTE DOUGLAS AIRPORT, NC US",35.2236,-80.9552,221.9
Busch Memorial Stadium,"St. Louis, MO",1966,1995,outdoor,"700 Clark Ave, St. Louis, MO 63102",63102,cold,,,USC00238791,"WEBSTER GROVES, MO US",38.56667,-90.36667,189
Candlestick Park,"San Francisco, CA",1960,2013,outdoor,"490 Jamestown Ave, San Francisco, CA 94124",94124,moderate,,,USW00023234,"SAN FRANCISCO INTERNATIONAL AIRPORT, CA US",37.6197,-122.3647,2.4
CenturyLink Field,"Seattle, WA",2002,,outdoor,"800 Occidental Ave S, Seattle, WA 98134",98134,moderate,"67,000",FieldTurf,US1WAKG0038,"SEATTLE 3.5 NW, WA US",47.6523,-122.4095,93
Cinergy Field,"Cincinnati, OH",1970,1999,outdoor,"201 East Joe Nuxhall Way, Cincinnati 45202",45202,cold,,,USW00003871,"CINCINNATI WEATHER SERVICE OFFICE CITY, OH US",39.1,-84.51667,193.9
Cleveland Municipal Stadium,"Cleveland, OH",1931,1995,outdoor,"1085 West 3rd Street, Cleveland, Ohio 44114",44114,cold,,,USW00014820,"CLEVELAND HOPKINS INTERNATIONAL AIRPORT, OH US",41.4057,-81.852,238
Cotton Bowl,"Dallas, TX",,,outdoor,"1300 Robert B Cullum Blvd., Dallas, TX 75210",75210,moderate,,"Grass, Turf (1970-1971)",,,,,
Cowboys Stadium,"Arlington, TX",2009,,retractable,"1 AT&T Way, Arlington, TX 76011",76011,dome,"80,000",FieldTurf,USC00410337,"ARLINGTON SIX FLAGS, TX US",32.7572,-97.0736,163.4
Dolphin Stadium,"Miami, FL",,,,,,,,,,,,,
Edward Jones Dome,"St. Louis, MO",1995,,indoor,"901 N Broadway, St. Louis, MO 63101",63101,dome,,,,,,,
Estadio Azteca,"Mexico City, Mexico",1966,,outdoor,"Calz. de Tlalpan 3465, Sta. ê_rsula Coapa, Coyoac_†çn, 04650 Ciudad de MÅ_xico, D.F., Mexico","Mexico City, MX",warm,,,,,,,
