team_name,team_name_short,team_id,team_id_pfr,team_conference,team_division,team_conference_pre2002,team_division_pre2002
Arizona Cardinals,Cardinals,ARI,CRD,NFC,NFC West,NFC,NFC West
Phoenix Cardinals,Cardinals,ARI,CRD,NFC,,NFC,NFC East
St. Louis Cardinals,Cardinals,ARI,ARI,NFC,,NFC,NFC East
Atlanta Falcons,Falcons,ATL,ATL,NFC,NFC South,NFC,NFC West
Baltimore Ravens,Ravens,BAL,RAV,AFC,AFC North,AFC,AFC Central
Buffalo Bills,Bills,BUF,BUF,AFC,AFC East,AFC,AFC East
Carolina Panthers,Panthers,CAR,CAR,NFC,NFC South,NFC,NFC West
Chicago Bears,Bears,CHI,CHI,NFC,NFC North,NFC,NFC Central
Cincinnati Bengals,Bengals,CIN,CIN,AFC,AFC North,AFC,AFC Central
Cleveland Browns,Browns,CLE,CLE,AFC,AFC North,AFC,AFC Central
Dallas Cowboys,Cowboys,DAL,DAL,NFC,NFC East,NFC,NFC East
Denver Broncos,Broncos,DEN,DEN,AFC,AFC West,AFC,AFC West
Detroit Lions,Lions,DET,DET,NFC,NFC North,NFC,NFC Central
Green Bay Packers,Packers,GB,GNB,NFC,NFC North,NFC,NFC Central
Houston Texans,Texans,HOU,HTX,AFC,AFC South,AFC,
Baltimore Colts,Colts,IND,CLT,AFC,,AFC,AFC East
Indianapolis Colts,Colts,IND,CLT,AFC,AFC South,AFC,AFC East
Jacksonville Jaguars,Jaguars,JAX,JAX,AFC,AFC South,AFC,AFC Central
Kansas City Chiefs,Chiefs,KC,KAN,AFC,AFC West,AFC,AFC West
Los Angeles Chargers,Chargers,LAC,SDG,AFC,AFC West,AFC,AFC West
San Diego Chargers,Chargers,LAC,SDG,AFC,AFC West,AFC,AFC West
Los Angeles Rams,Rams,LAR,RAM,NFC,NFC West,NFC,NFC West
St. Louis Rams,Rams,LAR,RAM,NFC,,NFC,NFC West
Miami Dolphins,Dolphins,MIA,MIA,AFC,AFC East,AFC,AFC East
Minnesota Vikings,Vikings,MIN,MIN,NFC,NFC North,NFC,NFC Central
New England Patriots,Patriots,NE,NWE,AFC,AFC East,AFC,AFC East
Boston Patriots,Patriots,NE,NWE,AFC,,AFC,
New Orleans Saints,Saints,NO,NOR,NFC,NFC South,NFC,NFC West
New York Giants,Giants,NYG,NYG,NFC,NFC East,NFC,NFC East
New York Jets,Jets,NYJ,NYJ,NFC,AFC East,NFC,AFC East
Los Angeles Raiders,Raiders,OAK,RAI,AFC,,AFC,AFC West
Oakland Raiders,Raiders,OAK,RAI,AFC,AFC West,AFC,AFC West
Philadelphia Eagles,Eagles,PHI,PHI,NFC,NFC East,NFC,NFC East
Pittsburgh Steelers,Steelers,PIT,PIT,AFC,AFC North,AFC,AFC Central
Seattle Seahawks,Seahawks,SEA,SEA,NFC,NFC West,AFC,AFC West
San Francisco 49ers,49ers,SF,SFO,NFC,NFC West,NFC,NFC West
Tampa Bay Buccaneers,Buccaneers,TB,TAM,NFC,NFC South,NFC,NFC Central
Houston Oilers,Oilers,TEN,OTI,AFC,,AFC,AFC Central
Tennessee Oilers,Oilers,TEN,OTI,AFC,,AFC,AFC Central
Tennessee Titans,Titans,TEN,OTI,AFC,AFC South,AFC,AFC Central
Washington Redskins,Redskins,WAS,WAS,NFC,NFC East,NFC,NFC East
